734306	734309
1164674	2133022
1295678	1744700
406027	406028
252295	723651
201746	443488
1490102	3942106
493533	2102831
843925	1309296
619449	2787939
987626	1019174
594702	1800393
432054	844758
1329476	1363532
669970	1558534
361424	415252
1648207	3664524
1305999	2962142
683400	1115621
383810	569538
372969	511614
346982	2037689
208633	208805
452336	2129216
742505	1953437
236088	240777
279002	1009866
350554	807265
466439	736163
1189140	1409850
1232599	2044911
1430836	3577300
123682	292135
406027	406029
987082	2434459
719365	880012
413531	937646
426147	667498
496754	2099501
3259328	3259329
507960	883735
678618	1686950
368408	594702
1590320	1905169
211153	211166
1227202	1708680
559297	1189632
368408	594702
330674	1496806
828090	1026858
318986	2906872
491580	492583
512123	1235367
1433511	1433512
16597	702035
607953	2273052
1028938	1785329
1059054	2231122
917782	1257602
2887920	3072262
348926	1603784
322803	671958
440023	548795
33678	568762
1108448	3868741
385551	2063590
27828	821044
1171891	2968513
310292	521674
3153702	3765275
294576	2245862
269758	1416711
532981	533008
279759	1602275
608865	609689
494402	494919
513558	858516
101862	194234
592538	1525378
368408	971217
542238	598779
542238	598779
368408	971216
997977	3709696
277754	3828293
463253	466303
11611	350039
1171891	2737828
3277999	3430284
2074211	2737828
321775	488190
549928	549929
1634120	2179196
645552	813984
418823	547795
999616	1165917
2839720	3701179
1987991	2075633
318432	624155
217698	1250827
271091	2574919
2136828	3721858
1059054	3090342
645552	813984
1217165	1217166
883973	890697
1624607	3486721
1960301	2574564
1837179	1837242
737880	3762782
38634	442901
512251	1668644
1302875	1749734
681815	1895671
1563175	3350298
702036	1899657
89922	232702
206713	207584
1351759	3549061
1380411	3460609
731500	1257475
465261	1240256
1567806	3483685
597108	2086938
549094	2843782
985158	1298287
955542	1160334
573210	1282266
454036	1136011
1226507	1632700
211726	211727
1335438	1905780
689656	2287724
1441173	1441179
65400	482404
354170	356082
488904	706060
916826	916827
853385	2041052
824262	824263
821693	842510
595003	595006
400430	623072
1018745	1677827
384229	590147
484297	2969113
2121843	3901632
290074	544303
152488	211191
347800	591067
312963	741707
547081	1905133
1570522	1920992
480693	2648752
2542282	3280241
2519455	2519473
201410	911052
280893	3183580
1784092	1784093
1581374	2620636
795673	1340827
2513905	2795914
381867	2295706
210017	211494
857251	1760083
425323	425324
1385062	3549196
347710	2306288
2817679	2817680
95894	222132
411016	1680263
443803	546297
211197	1634736
125139	264048
2352168	2352281
1249336	3024970
463630	1247955
658223	665533
1146830	2405506
223927	224771
1762166	3709568
304782	964201
444621	1389345
1837511	1984038
997979	1692443
3110025	3186292
880155	2019716
372796	2269320
512217	512218
217873	217889
217889	217930
17062	837026
3466515	3466519
1678283	2200805
521327	1249716
530673	712428
522993	568777
707029	947906
1769007	2758037
941673	1260046
1034314	1034317
287881	444131
306876	453143
1736693	3173014
1837249	3187573
672941	678874
1464439	3228694
34556	915805
1742068	3703705
10996	2165851
585104	935626
104986	168028
1115615	1913998
70136	119822
270068	2329428
442564	2362472
568747	1728382
102624	173234
382272	596688
3828442	3828446
10301	1064317
945458	1771840
33667	531223
594672	594673
212276	2967920
1351	368381
746843	1223953
492687	1031517
820627	2514410
1115615	1913998
2229905	2230024
1615783	2119347
651871	869907
3433595	3545447
573820	628426
340079	944939
405602	1801537
218042	218045
384667	2063706
519741	1205514
500148	1428498
497262	888642
13404	2978421
5955	5959
410064	1374833
462942	909153
295100	724855
699863	1015966
1571951	1810922
2365856	3279231
651737	2430562
865854	3231798
441067	1512216
309998	1040698
1268098	1269417
726825	1239279
594672	594673
466387	1211139
514783	530508
693999	694000
758354	758355
1918299	1918468
1118908	1468646
594672	594673
84538	2160549
594672	594673
869159	1446273
594672	594673
974949	1601550
10596	936210
3063243	3063244
2234172	2234174
158159	241420
1807041	2539936
1021222	1109702
3078597	3224691
202871	924570
334145	1645396
661169	922714
423557	1124781
494096	885270
78829	1277269
396214	1098996
78829	151643
617747	1899866
204637	699254
199766	394716
1094946	1944078
3765532	3765534
10105	1923277
1194588	3762414
1828859	2058019
291047	338545
319526	1184059
476968	964817
1387158	1730684
204637	699254
1555478	2363487
2071506	3058197
1209565	1328511
